gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2792422076	500	80.6	1	500	1	500	0.0e+00	923	KO:K01992	ABC-2 type transport system permease protein		Yes
2792422077	251	90.04	1	251	1	251	0.0e+00	516	KO:K01990	ABC-2 type transport system ATP-binding protein		Yes
2792422078	707	76.38	1	707	1	706	0.0e+00	1210	KO:K07003	uncharacterized protein		Yes
2792422083	229	86.46	1	229	1	229	0.0e+00	451	KO:K01779	aspartate racemase [EC:5.1.1.13]	EC:5.1.1.13	Yes
2792422088	461	89.15	1	461	1	461	0.0e+00	945	KO:K03568	TldD protein		Yes
2792422089	447	80.54	1	447	1	447	0.0e+00	834	KO:K03592	PmbA protein		Yes
2792422090	441	85.26	1	441	1	441	0.0e+00	890	KO:K01915	glutamine synthetase [EC:6.3.1.2]	EC:6.3.1.2	Yes
2792422091	474	83.76	1	474	1	474	0.0e+00	926	KO:K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	EC:2.1.2.3	Yes
2792422091	474	83.76	1	474	1	474	0.0e+00	926	KO:K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	EC:3.5.4.10	Yes
2792422096	335	43.01	27	308	21	306	2.6e-80	283	KO:K12234	coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]	EC:6.3.2.31	Yes
2792422096	335	43.01	27	308	21	306	2.6e-80	283	KO:K12234	coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]	EC:6.3.2.34	Yes
2792422104	310	88.71	1	310	1	310	0.0e+00	635	KO:K01921	D-alanine-D-alanine ligase [EC:6.3.2.4]	EC:6.3.2.4	Yes
2792422108	237	83.9	32	236	6	210	6.0e-127	408	KO:K17882	kanamycin nucleotidyltransferase [EC:2.7.7.-]	EC:2.7.7.-	Yes
2792422110	403	88.09	1	403	1	403	0.0e+00	844	KO:K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37]	EC:4.1.1.37	Yes
2792422111	318	88.96	1	317	1	317	0.0e+00	647	KO:K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37]	EC:4.1.1.37	Yes
2792422114	360	95.45	9	360	1	352	0.0e+00	803	KO:K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37]	EC:4.1.1.37	Yes
2792422118	414	85.05	1	408	1	408	0.0e+00	783	KO:K09760	DNA recombination protein RmuC		Yes
2792422119	231	88.74	1	231	1	231	0.0e+00	494	KO:K09125	uncharacterized protein		Yes
2792422122	489	94.26	1	487	1	488	0.0e+00	1110	KO:K03781	catalase [EC:1.11.1.6]	EC:1.11.1.6	Yes
2792422123	277	84.67	1	274	1	274	0.0e+00	559	KO:K00528	ferredoxin--NADP+ reductase [EC:1.18.1.2]	EC:1.18.1.2	Yes
2792422124	464	95.41	7	464	1	458	0.0e+00	1010	KO:K00266	glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]	EC:1.4.1.13	Yes
2792422124	464	95.41	7	464	1	458	0.0e+00	1010	KO:K00266	glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]	EC:1.4.1.14	Yes
2792422127	480	80.75	1	477	1	478	0.0e+00	875	KO:K07650	two-component system, OmpR family, sensor histidine kinase CssS [EC:2.7.13.3]	EC:2.7.13.3	Yes
2792422128	223	89.29	1	223	1	224	0.0e+00	463	KO:K07770	two-component system, OmpR family, response regulator CssR		Yes
2792422130	349	77.94	1	349	1	349	0.0e+00	664	KO:K07335	basic membrane protein A and related proteins		Yes
2792422135	200	87	1	200	1	200	1.2e-125	400	KO:K01304	pyroglutamyl-peptidase [EC:3.4.19.3]	EC:3.4.19.3	Yes
2792422141	291	87.29	1	291	1	291	0.0e+00	597	KO:K01426	amidase [EC:3.5.1.4]	EC:3.5.1.4	Yes
2792422142	316	77.71	1	314	1	314	0.0e+00	565	KO:K07027	uncharacterized protein		Yes
2792422145	356	87.04	1	355	1	355	0.0e+00	736	KO:K07138	uncharacterized protein		Yes
2792422154	237	75.53	1	237	1	236	0.0e+00	420	KO:K01126	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	EC:3.1.4.46	Yes
2792422155	365	69.17	1	359	1	360	0.0e+00	574	KO:K02010	iron(III) transport system ATP-binding protein [EC:3.6.3.30]	EC:3.6.3.30	Yes
2792422156	737	63.25	4	735	1	731	0.0e+00	1070	KO:K02011	iron(III) transport system permease protein		Yes
