gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2861242191	1120	92.77	1	1120	1	1119	0.0e+00	2370	KO:K03654	ATP-dependent DNA helicase RecQ [EC:3.6.4.12]	EC:3.6.4.12	
2861242193	463	95.03	1	463	1	463	0.0e+00	1010	KO:K02488	two-component system, cell cycle response regulator [EC:2.7.7.65]	EC:2.7.7.65	
2861242194	456	97.81	1	456	1	456	0.0e+00	1040	KO:K01915	glutamine synthetase [EC:6.3.1.2]	EC:6.3.1.2	
2861242196	340	97.06	1	340	1	340	0.0e+00	726	KO:K10716	voltage-gated potassium channel		
2861242198	223	95.52	1	223	1	223	0.0e+00	485	KO:K06346	spoIIIJ-associated protein		
2861242199	434	97.93	1	434	1	434	0.0e+00	986	KO:K03217	YidC/Oxa1 family membrane protein insertase		
2861242200	131	93.89	1	131	1	131	5.1e-85	284	KO:K03536	ribonuclease P protein component [EC:3.1.26.5]	EC:3.1.26.5	
2861242201	44	100	1	44	1	44	4.8e-25	104	KO:K02914	large subunit ribosomal protein L34		
2861242204	353	99.43	1	353	1	353	0.0e+00	800	KO:K07335	basic membrane protein A and related proteins		
2861242205	439	98.18	1	439	1	439	0.0e+00	970	KO:K03977	GTPase		
2861242206	811	95.93	1	811	1	811	0.0e+00	1760	KO:K03527	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [EC:1.17.1.2]	EC:1.17.1.2	
2861242207	222	95.5	1	222	1	222	0.0e+00	478	KO:K00945	cytidylate kinase [EC:2.7.4.14]	EC:2.7.4.14	
2861242208	110	98.18	1	110	1	110	1.2e-69	238	KO:K04749	anti-sigma B factor antagonist		
2861242209	581	95.01	1	581	1	581	0.0e+00	1280	KO:K01876	aspartyl-tRNA synthetase [EC:6.1.1.12]	EC:6.1.1.12	
2861242210	216	96.76	1	216	1	216	0.0e+00	476	KO:K00616	transaldolase [EC:2.2.1.2]	EC:2.2.1.2	
2861242211	718	94.01	1	718	1	718	0.0e+00	1530	KO:K02026	multiple sugar transport system permease protein		
2861242212	429	96.97	1	429	1	429	0.0e+00	961	KO:K02025	multiple sugar transport system permease protein		
2861242213	459	97.82	1	459	1	459	0.0e+00	999	KO:K03667	ATP-dependent HslUV protease ATP-binding subunit HslU		
2861242216	697	97.13	1	697	1	697	0.0e+00	1520	KO:K00962	polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	EC:2.7.7.8	
2861242217	702	94.59	1	702	1	702	0.0e+00	1590	KO:K01187	alpha-glucosidase [EC:3.2.1.20]	EC:3.2.1.20	
2861242218	278	96.04	1	278	1	278	0.0e+00	607	KO:K01918	pantoate--beta-alanine ligase [EC:6.3.2.1]	EC:6.3.2.1	
2861242219	266	95.11	1	266	15	280	0.0e+00	598	KO:K04096	DNA processing protein		
2861242220	93	95.7	1	93	1	93	4.8e-60	209	KO:K03616	electron transport complex protein RnfB		
2861242221	475	95.58	1	475	1	475	0.0e+00	1010	KO:K03980	putative peptidoglycan lipid II flippase		
2861242222	226	94.69	1	226	1	226	0.0e+00	489	KO:K03524	BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]	EC:6.3.4.15	
2861242223	342	97.08	1	342	1	342	0.0e+00	753	KO:K06864	uncharacterized protein		
2861242224	230	95.65	1	230	1	230	0.0e+00	492	KO:K03685	ribonuclease III [EC:3.1.26.3]	EC:3.1.26.3	
2861242226	293	94.54	1	293	1	293	0.0e+00	616	KO:K07088	uncharacterized protein		
2861242227	583	97.6	1	583	1	583	0.0e+00	1320	KO:K00336	NADH-quinone oxidoreductase subunit G [EC:1.6.5.3]	EC:1.6.5.3	
2861242229	471	98.94	1	471	1	471	0.0e+00	1080	KO:K03150	2-iminoacetate synthase [EC:4.1.99.19]	EC:4.1.99.19	
2861242231	341	96.77	1	341	1	341	0.0e+00	768	KO:K01012	biotin synthase [EC:2.8.1.6]	EC:2.8.1.6	
2861242232	434	93.55	1	434	1	434	0.0e+00	957	KO:K07047	uncharacterized protein		
2861242233	319	99.37	1	319	1	319	0.0e+00	698	KO:K00850	6-phosphofructokinase 1 [EC:2.7.1.11]	EC:2.7.1.11	
2861242234	402	97.01	1	402	1	402	0.0e+00	882	KO:K00941	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	EC:2.7.1.49	
2861242234	402	97.01	1	402	1	402	0.0e+00	882	KO:K00941	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	EC:2.7.4.7	
2861242236	425	96.24	1	425	1	425	0.0e+00	937	KO:K03147	phosphomethylpyrimidine synthase [EC:4.1.99.17]	EC:4.1.99.17	
2861242237	257	95.72	1	257	1	257	0.0e+00	565	KO:K03146	thiamine thiazole synthase		
2861242240	297	97.64	1	297	1	297	0.0e+00	658	KO:K00645	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	EC:2.3.1.39	
2861242241	167	97.01	1	167	1	167	1.3e-111	363	KO:K03523	biotin transport system substrate-specific component		
2861242242	310	96.45	1	310	1	310	0.0e+00	662	KO:K02371	enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]	EC:1.3.1.9	
