gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2647780816	500	65.5	56	499	1	446	0.0e+00	602.4	KO:K02313	chromosomal replication initiator protein		Yes
2647780817	330	66.6	1	323	1	323	0.0e+00	442.6	KO:K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	EC:1.1.1.94	Yes
2647780818	317	52.9	6	315	4	309	0.0e+00	345.1	KO:K03439	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]	EC:2.1.1.33	Yes
2647780819	179	74.2	1	178	1	178	0.0e+00	290.4	KO:K00760	hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]	EC:2.4.2.8	Yes
2647780821	786	68.4	1	786	1	787	0.0e+00	1080.1	KO:K03655	ATP-dependent DNA helicase RecG [EC:3.6.4.12]	EC:3.6.4.12	Yes
2647780823	161	59.5	1	153	1	153	0.0e+00	198.4	KO:K09122	hypothetical protein		Yes
2647780826	917	76.1	1	912	1	912	0.0e+00	1485.3	KO:K01870	isoleucyl-tRNA synthetase [EC:6.1.1.5]	EC:6.1.1.5	Yes
2647780828	233	45.4	1	221	2	227	0.0e+00	206.1	KO:K01104	protein-tyrosine phosphatase [EC:3.1.3.48]	EC:3.1.3.48	Yes
2647780830	247	75.3	1	247	1	247	0.0e+00	383.6	KO:K07238	zinc transporter, ZIP family		Yes
2647780832	640	76.4	1	640	1	639	0.0e+00	1016.1	KO:K01874	methionyl-tRNA synthetase [EC:6.1.1.10]	EC:6.1.1.10	Yes
2647780833	808	73.1	1	808	1	808	0.0e+00	1196.8	KO:K02469	DNA gyrase subunit A [EC:5.99.1.3]	EC:5.99.1.3	Yes
2647780834	208	86.5	1	208	1	208	0.0e+00	374.8	KO:K01356	repressor LexA [EC:3.4.21.88]	EC:3.4.21.88	Yes
2647780835	153	68.1	2	145	1	144	0.0e+00	208	KO:K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]	EC:5.3.1.6	Yes
2647780837	826	48.2	4	826	2	836	0.0e+00	771.5	KO:K07277	outer membrane protein insertion porin family		Yes
2647780839	243	55.1	2	242	6	246	0.0e+00	283.1	KO:K07053			Yes
2647780843	229	79.3	1	227	1	227	0.0e+00	381.3	KO:K03465	thymidylate synthase (FAD) [EC:2.1.1.148]	EC:2.1.1.148	Yes
2647780845	260	56.5	1	254	1	254	0.0e+00	293.5	KO:K01809	mannose-6-phosphate isomerase [EC:5.3.1.8]	EC:5.3.1.8	Yes
2647780846	436	74	1	434	3	436	0.0e+00	657.1	KO:K04094	methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]	EC:2.1.1.74	Yes
2647780847	297	65	1	296	1	297	0.0e+00	394.4	KO:K03660	N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]	EC:3.2.2.-	Yes
2647780847	297	65	1	296	1	297	0.0e+00	394.4	KO:K03660	N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]	EC:4.2.99.18	Yes
2647780849	263	46.7	2	262	3	263	0.0e+00	265.8	KO:K09765	hypothetical protein		Yes
2647780852	328	39.2	1	325	1	326	0.0e+00	261.2	KO:K01735	3-dehydroquinate synthase [EC:4.2.3.4]	EC:4.2.3.4	Yes
2647780853	336	80	1	335	1	335	0.0e+00	549.7	KO:K01179	endoglucanase [EC:3.2.1.4]	EC:3.2.1.4	Yes
2647780854	346	74	1	346	1	344	0.0e+00	516.2	KO:K01179	endoglucanase [EC:3.2.1.4]	EC:3.2.1.4	Yes
2647780855	340	64	1	339	1	339	0.0e+00	450.3	KO:K01179	endoglucanase [EC:3.2.1.4]	EC:3.2.1.4	Yes
2647780856	218	80.3	1	218	1	218	0.0e+00	350.1	KO:K03610	septum site-determining protein MinC		Yes
2647780860	425	66.8	1	425	1	425	0.0e+00	581.6	KO:K08369	MFS transporter, putative metabolite:H+ symporter		Yes
2647780861	406	42.5	4	405	1	406	0.0e+00	334.7	KO:K06013	STE24 endopeptidase [EC:3.4.24.84]	EC:3.4.24.84	Yes
2647780862	389	85.1	1	388	1	388	0.0e+00	689.1	KO:K01839	phosphopentomutase [EC:5.4.2.7]	EC:5.4.2.7	Yes
2647780864	947	77.9	1	940	1	939	0.0e+00	1506.1	KO:K03701	excinuclease ABC subunit A		Yes
2647780865	437	68.9	1	436	1	437	0.0e+00	604.4	KO:K03431	phosphoglucosamine mutase [EC:5.4.2.10]	EC:5.4.2.10	Yes
2647780867	269	53.6	7	269	7	268	0.0e+00	283.9	KO:K02528	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]	EC:2.1.1.182	Yes
2647780871	228	66.5	4	224	9	229	0.0e+00	337	KO:K11068	hemolysin III		Yes
2647780877	298	41.1	1	298	1	296	0.0e+00	214.5	KO:K02536	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	EC:2.3.1.191	Yes
2647780885	507	51.4	17	507	9	497	0.0e+00	497.3	KO:K03980	putative peptidoglycan lipid II flippase		Yes
2647780887	145	61.1	3	145	2	144	1.0e-39	164.9	KO:K02456	general secretion pathway protein G		Yes
2647780888	432	68	8	432	9	433	0.0e+00	604.7	KO:K02824	uracil permease		Yes
