gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2509099661	454	100	1	454	1	454	0.0e+00	887.1	KO:K02313	chromosomal replication initiator protein		Yes
2509099662	166	100	1	166	1	166	0.0e+00	345.1	KO:K12267	peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12]	EC:1.8.4.11	Yes
2509099662	166	100	1	166	1	166	0.0e+00	345.1	KO:K12267	peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12]	EC:1.8.4.12	Yes
2509099665	236	100	1	236	1	236	0.0e+00	485.3	KO:K05982	deoxyribonuclease V [EC:3.1.21.7]	EC:3.1.21.7	Yes
2509099666	156	100	1	156	1	156	0.0e+00	313.5	KO:K01770	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]	EC:4.6.1.12	Yes
2509099667	422	100	1	422	1	422	0.0e+00	815.8	KO:K02338	DNA polymerase III subunit beta [EC:2.7.7.7]	EC:2.7.7.7	Yes
2509099668	287	100	1	287	1	287	0.0e+00	569.3	KO:K01126	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	EC:3.1.4.46	Yes
2509099670	148	100	1	148	1	148	0.0e+00	299.3	KO:K09860	hypothetical protein		Yes
2509099672	328	99.7	1	328	1	328	0.0e+00	645.6	KO:K06217	phosphate starvation-inducible protein PhoH and related proteins		Yes
2509099673	455	100	1	455	1	455	0.0e+00	896.7	KO:K07037			Yes
2509099674	143	100	1	143	1	143	0.0e+00	292	KO:K07042	probable rRNA maturation factor		Yes
2509099677	109	100	1	109	1	109	0.0e+00	221.9	KO:K03892	ArsR family transcriptional regulator		Yes
2509099679	339	100	1	339	1	339	0.0e+00	690.6	KO:K07112			Yes
2509099681	133	100	1	133	1	133	0.0e+00	265.8	KO:K07235	tRNA 2-thiouridine synthesizing protein D [EC:2.8.1.-]	EC:2.8.1.-	Yes
2509099682	118	100	1	118	1	118	0.0e+00	238.8	KO:K07236	tRNA 2-thiouridine synthesizing protein C		Yes
2509099683	89	100	1	89	1	89	2.4e-44	179.5	KO:K07237	tRNA 2-thiouridine synthesizing protein B		Yes
2509099684	453	100	1	453	1	453	0.0e+00	881.7	KO:K00382	dihydrolipoamide dehydrogenase [EC:1.8.1.4]	EC:1.8.1.4	Yes
2509099686	226	100	1	226	1	226	0.0e+00	458	KO:K06206	sugar fermentation stimulation protein A		Yes
2509099687	191	100	1	191	1	191	0.0e+00	380.9	KO:K06950	uncharacterized protein		Yes
2509099689	342	100	1	342	1	342	0.0e+00	686	KO:K01620	threonine aldolase [EC:4.1.2.5]	EC:4.1.2.5	Yes
2509099692	183	100	1	183	1	183	0.0e+00	379.8	KO:K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	EC:3.6.1.55	Yes
2509099695	381	100	1	381	1	381	0.0e+00	754.6	KO:K00812	aspartate aminotransferase [EC:2.6.1.1]	EC:2.6.1.1	Yes
2509099696	432	100	1	432	1	432	0.0e+00	849.4	KO:K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	EC:2.5.1.7	Yes
2509099699	275	100	1	275	1	275	0.0e+00	538.9	KO:K07024			Yes
2509099703	409	100	1	409	1	409	0.0e+00	808.9	KO:K09458	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	EC:2.3.1.179	Yes
2509099705	142	100	1	142	1	142	0.0e+00	282.7	KO:K02372	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	EC:4.2.1.59	Yes
2509099706	293	100	1	293	1	293	0.0e+00	589.3	KO:K00648	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	EC:2.3.1.180	Yes
2509099707	309	100	1	309	1	309	0.0e+00	599	KO:K02371	enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]	EC:1.3.1.9	Yes
2509099708	296	100	1	296	1	296	0.0e+00	577.8	KO:K00645	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	EC:2.3.1.39	Yes
2509099709	205	100	1	205	1	205	0.0e+00	409.1	KO:K01304	pyroglutamyl-peptidase [EC:3.4.19.3]	EC:3.4.19.3	Yes
2509099711	273	100	1	273	1	273	0.0e+00	531.2	KO:K03856	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	EC:2.5.1.54	Yes
2509099712	422	100	1	422	1	422	0.0e+00	822.4	KO:K00800	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	EC:2.5.1.19	Yes
2509099714	932	100	1	932	1	932	0.0e+00	1785.4	KO:K03546	exonuclease SbcC		Yes
2509099718	170	100	1	170	1	170	0.0e+00	333.6	KO:K00759	adenine phosphoribosyltransferase [EC:2.4.2.7]	EC:2.4.2.7	Yes
2509099719	455	100	1	455	1	455	0.0e+00	905.2	KO:K01810	glucose-6-phosphate isomerase [EC:5.3.1.9]	EC:5.3.1.9	Yes
2509099720	190	100	1	190	1	190	0.0e+00	371.3	KO:K00859	dephospho-CoA kinase [EC:2.7.1.24]	EC:2.7.1.24	Yes
2509099721	431	100	1	431	1	431	0.0e+00	886.3	KO:K02027	multiple sugar transport system substrate-binding protein		Yes
2509099723	312	100	1	312	1	312	0.0e+00	592.8	KO:K03306	inorganic phosphate transporter, PiT family		Yes
2509099724	214	100	1	214	1	214	0.0e+00	416.8	KO:K07220	hypothetical protein		Yes
2509099725	669	100	1	669	1	669	0.0e+00	1340.9	KO:K01768	adenylate cyclase [EC:4.6.1.1]	EC:4.6.1.1	Yes
2509099730	457	100	1	457	1	457	0.0e+00	888.6	KO:K02343	DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	EC:2.7.7.7	Yes
2509099732	187	100	1	187	1	187	0.0e+00	376.7	KO:K02838	ribosome recycling factor		Yes
2509099733	242	100	1	242	1	242	0.0e+00	486.9	KO:K00806	undecaprenyl diphosphate synthase [EC:2.5.1.31]	EC:2.5.1.31	Yes
2509099734	287	100	1	287	1	287	0.0e+00	562	KO:K00981	phosphatidate cytidylyltransferase [EC:2.7.7.41]	EC:2.7.7.41	Yes
2509099735	868	100	1	868	1	868	0.0e+00	1736.5	KO:K01872	alanyl-tRNA synthetase [EC:6.1.1.7]	EC:6.1.1.7	Yes
2509099737	99	100	1	99	1	99	0.0e+00	196.1	KO:K02435	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.6	Yes
2509099737	99	100	1	99	1	99	0.0e+00	196.1	KO:K02435	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.7	Yes
2509099738	112	100	1	112	1	112	0.0e+00	226.9	KO:K07460	putative endonuclease		Yes
2509099739	559	100	1	559	1	559	0.0e+00	1105.5	KO:K01835	phosphoglucomutase [EC:5.4.2.2]	EC:5.4.2.2	Yes
2509099741	244	100	1	244	1	244	0.0e+00	499.2	KO:K06173	tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	EC:5.4.99.12	Yes
2509099743	214	100	1	214	1	214	0.0e+00	407.9	KO:K02072	D-methionine transport system permease protein		Yes
2509099744	322	100	1	322	1	322	0.0e+00	632.1	KO:K02071	D-methionine transport system ATP-binding protein		Yes
2509099745	263	100	1	263	1	263	0.0e+00	516.9	KO:K02073	D-methionine transport system substrate-binding protein		Yes
2509099747	149	100	1	149	1	149	0.0e+00	289.3	KO:K02413	flagellar FliJ protein		Yes
2509099749	310	100	1	310	1	310	0.0e+00	633.6	KO:K04070	putative pyruvate formate lyase activating enzyme [EC:1.97.1.4]	EC:1.97.1.4	Yes
2509099750	249	100	1	249	1	249	0.0e+00	476.5	KO:K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	EC:1.1.1.100	Yes
2509099751	717	100	1	717	1	717	0.0e+00	1429.8	KO:K00951	GTP pyrophosphokinase [EC:2.7.6.5]	EC:2.7.6.5	Yes
2509099752	150	100	1	150	1	150	0.0e+00	299.3	KO:K07560	D-tyrosyl-tRNA(Tyr) deacylase [EC:3.1.-.-]	EC:3.1.-	Yes
2509099754	894	100	1	894	1	894	0.0e+00	1741.5	KO:K02335	DNA polymerase I [EC:2.7.7.7]	EC:2.7.7.7	Yes
2509099756	439	100	1	439	1	439	0.0e+00	862.8	KO:K03628	transcription termination factor Rho		Yes
2509099758	734	100	1	734	1	734	0.0e+00	1395.6	KO:K03406	methyl-accepting chemotaxis protein		Yes
2509099759	423	100	1	423	1	423	0.0e+00	859	KO:K12960	5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]	EC:3.5.4.28	Yes
2509099759	423	100	1	423	1	423	0.0e+00	859	KO:K12960	5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]	EC:3.5.4.31	Yes
2509099760	303	100	1	303	1	303	0.0e+00	608.2	KO:K07139			Yes
2509099762	118	100	1	118	1	118	0.0e+00	249.6	KO:K05919	superoxide reductase [EC:1.15.1.2]	EC:1.15.1.2	Yes
2509099764	471	100	1	471	1	471	0.0e+00	953.4	KO:K03150	2-iminoacetate synthase [EC:4.1.99.19]	EC:4.1.99.19	Yes
2509099765	374	100	1	374	1	374	0.0e+00	752.3	KO:K01012	biotin synthase [EC:2.8.1.6]	EC:2.8.1.6	Yes
2509099767	458	100	1	458	1	458	0.0e+00	901.7	KO:K01744	aspartate ammonia-lyase [EC:4.3.1.1]	EC:4.3.1.1	Yes
2509099770	127	100	1	127	1	127	0.0e+00	244.2	KO:K09747	hypothetical protein		Yes
2509099771	334	100	1	334	1	334	0.0e+00	650.6	KO:K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	EC:1.2.1.12	Yes
2509099772	655	100	1	655	1	655	0.0e+00	1270.8	KO:K01803	triosephosphate isomerase (TIM) [EC:5.3.1.1]	EC:5.3.1.1	Yes
