gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2651317966	454	74.83	1	449	1	449	0.0e+00	804	KO:K02313	chromosomal replication initiator protein		Yes
2651317968	115	76.47	1	113	1	119	1.3e-61	209	KO:K09700	hypothetical protein		Yes
2651317969	178	67.94	46	176	2	132	1.9e-60	213	KO:K03409	chemotaxis protein CheX		Yes
2651317970	474	71	5	465	7	468	0.0e+00	808	KO:K01883	cysteinyl-tRNA synthetase [EC:6.1.1.16]	EC:6.1.1.16	Yes
2651317971	488	74.59	1	488	1	488	0.0e+00	879	KO:K09698	nondiscriminating glutamyl-tRNA synthetase [EC:6.1.1.24]	EC:6.1.1.24	Yes
2651317972	177	74.43	1	176	1	176	1.3e-95	312	KO:K01515	ADP-ribose pyrophosphatase [EC:3.6.1.13]	EC:3.6.1.13	Yes
2651317973	132	78.03	1	132	1	132	1.1e-72	243	KO:K01489	cytidine deaminase [EC:3.5.4.5]	EC:3.5.4.5	Yes
2651317976	373	72.41	1	373	1	377	0.0e+00	654	KO:K03686	molecular chaperone DnaJ		Yes
2651317977	217	51.43	1	210	1	210	6.5e-77	264	KO:K03687	molecular chaperone GrpE		Yes
2651317978	335	73.03	5	334	5	334	0.0e+00	547	KO:K03705	heat-inducible transcriptional repressor		Yes
2651317980	500	64.2	1	500	1	500	0.0e+00	745	KO:K01928	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	EC:6.3.2.13	Yes
2651317981	429	63.55	1	428	1	424	0.0e+00	633	KO:K01929	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	EC:6.3.2.10	Yes
2651317982	314	69.75	1	314	1	314	0.0e+00	536	KO:K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	EC:2.7.8.13	Yes
2651317983	439	65.81	1	430	1	430	0.0e+00	669	KO:K01925	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	EC:6.3.2.9	Yes
2651317984	375	70.88	8	371	3	366	0.0e+00	630	KO:K03588	cell division protein FtsW		Yes
